runner-1  | 2026-09-13T05:36:07.111841986Z 2026-09-13T05:36:07Z stage=initialize completed=0 total=10000
runner-1  | 2026-09-13T05:36:07.111883693Z 2026-09-13T05:36:07Z stage=manifest_plan completed=0 total=10000
runner-1  | 2026-09-13T05:36:07.120042156Z 2026-09-13T05:36:07Z stage=manifest_write completed=0 total=10000
runner-1  | 2026-09-13T05:36:07.136262533Z 2026-09-13T05:36:07Z stage=registry_load completed=0 total=10000
runner-1  | 2026-09-13T05:36:07.285569156Z 2026-09-13T05:36:07Z stage=database_create completed=0 total=10000
runner-1  | 2026-09-13T05:36:07.303847044Z 2026-09-13T05:36:07Z stage=database_migrate completed=0 total=10000
runner-1  | 2026-09-13T05:36:10.983437832Z 2026-09-13T05:36:10Z stage=database_seed completed=0 total=10000
runner-1  | 2026-09-13T05:36:12.471106158Z 2026-09-13T05:36:12Z stage=topics_create completed=0 total=10000
runner-1  | 2026-09-13T05:36:12.531053402Z 2026-09-13T05:36:12Z stage=start_entity completed=0 total=10000
runner-1  | 2026-09-13T05:36:13.658804012Z 2026-09-13T05:36:13Z stage=start_ingest completed=0 total=10000
runner-1  | 2026-09-13T05:36:14.001817096Z 2026-09-13T05:36:14Z stage=warmup_publish completed=0 total=10000
runner-1  | 2026-09-13T05:36:19.002732319Z 2026-09-13T05:36:19Z stage=generate completed=2675 total=10000
runner-1  | 2026-09-13T05:36:24.004220005Z 2026-09-13T05:36:24Z stage=generate completed=5124 total=10000
runner-1  | 2026-09-13T05:36:29.004320761Z 2026-09-13T05:36:29Z stage=generate completed=7816 total=10000
runner-1  | 2026-09-13T05:36:32.780250992Z 2026-09-13T05:36:32Z stage=consumer_drain completed=10000 total=10000
runner-1  | 2026-09-13T05:36:32.836357575Z 2026-09-13T05:36:32Z stage=warmup_snapshots completed=100 total=10000
runner-1  | 2026-09-13T05:36:34.381428023Z 2026-09-13T05:36:34Z stage=warmup_snapshots completed=10000 total=10000
runner-1  | 2026-09-13T05:36:34.381489779Z 2026-09-13T05:36:34Z stage=load_500 completed=0 total=15000
runner-1  | 2026-09-13T05:36:39.379797324Z 2026-09-13T05:36:39Z stage=generate completed=2498 total=15000
runner-1  | 2026-09-13T05:36:44.381419748Z 2026-09-13T05:36:44Z stage=generate completed=4983 total=15000
runner-1  | 2026-09-13T05:36:49.381456081Z 2026-09-13T05:36:49Z stage=generate completed=7500 total=15000
runner-1  | 2026-09-13T05:36:54.382022025Z 2026-09-13T05:36:54Z stage=generate completed=9934 total=15000
runner-1  | 2026-09-13T05:36:59.384041444Z 2026-09-13T05:36:59Z stage=generate completed=12501 total=15000
runner-1  | 2026-09-13T05:37:04.382848530Z 2026-09-13T05:37:04Z stage=consumer_drain completed=15000 total=15000
runner-1  | 2026-09-13T05:37:04.392955124Z 2026-09-13T05:37:04Z stage=load_2000 completed=0 total=60000
runner-1  | 2026-09-13T05:37:09.393259856Z 2026-09-13T05:37:09Z stage=generate completed=3322 total=60000
runner-1  | 2026-09-13T05:37:14.394531779Z 2026-09-13T05:37:14Z stage=generate completed=6658 total=60000
runner-1  | 2026-09-13T05:37:19.396362075Z 2026-09-13T05:37:19Z stage=generate completed=9790 total=60000
runner-1  | 2026-09-13T05:37:24.396519749Z 2026-09-13T05:37:24Z stage=generate completed=12749 total=60000
runner-1  | 2026-09-13T05:37:29.397431039Z 2026-09-13T05:37:29Z stage=generate completed=15877 total=60000
runner-1  | 2026-09-13T05:37:34.397988112Z 2026-09-13T05:37:34Z stage=generate completed=19108 total=60000
runner-1  | 2026-09-13T05:37:39.396525158Z 2026-09-13T05:37:39Z stage=generate completed=22393 total=60000
runner-1  | 2026-09-13T05:37:44.397556069Z 2026-09-13T05:37:44Z stage=generate completed=25790 total=60000
runner-1  | 2026-09-13T05:37:49.398146463Z 2026-09-13T05:37:49Z stage=generate completed=29137 total=60000
runner-1  | 2026-09-13T05:37:54.399299271Z 2026-09-13T05:37:54Z stage=generate completed=32369 total=60000
runner-1  | 2026-09-13T05:37:59.400163186Z 2026-09-13T05:37:59Z stage=generate completed=35753 total=60000
runner-1  | 2026-09-13T05:38:04.400883781Z 2026-09-13T05:38:04Z stage=generate completed=39165 total=60000
runner-1  | 2026-09-13T05:38:09.399712455Z 2026-09-13T05:38:09Z stage=generate completed=42561 total=60000
runner-1  | 2026-09-13T05:38:14.401244264Z 2026-09-13T05:38:14Z stage=generate completed=45935 total=60000
runner-1  | 2026-09-13T05:38:19.402489380Z 2026-09-13T05:38:19Z stage=generate completed=49276 total=60000
runner-1  | 2026-09-13T05:38:24.403657396Z 2026-09-13T05:38:24Z stage=generate completed=52605 total=60000
runner-1  | 2026-09-13T05:38:29.403878732Z 2026-09-13T05:38:29Z stage=generate completed=55937 total=60000
runner-1  | 2026-09-13T05:38:34.404458547Z 2026-09-13T05:38:34Z stage=generate completed=59265 total=60000
runner-1  | 2026-09-13T05:38:35.450923208Z 2026-09-13T05:38:35Z stage=consumer_drain completed=60000 total=60000
