runner-1  | 2026-09-13T05:54:34.320777992Z 2026-09-13T05:54:34Z stage=initialize completed=0 total=10000
runner-1  | 2026-09-13T05:54:34.320817660Z 2026-09-13T05:54:34Z stage=manifest_plan completed=0 total=10000
runner-1  | 2026-09-13T05:54:34.327039074Z 2026-09-13T05:54:34Z stage=manifest_write completed=0 total=10000
runner-1  | 2026-09-13T05:54:34.338026845Z 2026-09-13T05:54:34Z stage=registry_load completed=0 total=10000
runner-1  | 2026-09-13T05:54:34.450595255Z 2026-09-13T05:54:34Z stage=database_create completed=0 total=10000
runner-1  | 2026-09-13T05:54:34.472361336Z 2026-09-13T05:54:34Z stage=database_migrate completed=0 total=10000
runner-1  | 2026-09-13T05:54:39.413593665Z 2026-09-13T05:54:39Z stage=database_seed completed=0 total=10000
runner-1  | 2026-09-13T05:54:40.831148239Z 2026-09-13T05:54:40Z stage=topics_create completed=0 total=10000
runner-1  | 2026-09-13T05:54:40.877063933Z 2026-09-13T05:54:40Z stage=start_entity completed=0 total=10000
runner-1  | 2026-09-13T05:54:41.386607900Z 2026-09-13T05:54:41Z stage=start_ingest completed=0 total=10000
runner-1  | 2026-09-13T05:54:41.511058682Z 2026-09-13T05:54:41Z stage=warmup_publish completed=0 total=10000
runner-1  | 2026-09-13T05:54:43.602007136Z 2026-09-13T05:54:43Z stage=consumer_drain completed=10000 total=10000
runner-1  | 2026-09-13T05:54:49.639229375Z 2026-09-13T05:54:49Z stage=warmup_snapshots completed=100 total=10000
runner-1  | 2026-09-13T05:54:50.681949465Z 2026-09-13T05:54:50Z stage=warmup_snapshots completed=10000 total=10000
runner-1  | 2026-09-13T05:54:50.681990239Z 2026-09-13T05:54:50Z stage=load_500 completed=0 total=15000
runner-1  | 2026-09-13T05:54:55.682466151Z 2026-09-13T05:54:55Z stage=generate completed=2499 total=15000
runner-1  | 2026-09-13T05:55:00.683941247Z 2026-09-13T05:55:00Z stage=generate completed=5000 total=15000
runner-1  | 2026-09-13T05:55:05.684934589Z 2026-09-13T05:55:05Z stage=generate completed=7500 total=15000
runner-1  | 2026-09-13T05:55:10.684447106Z 2026-09-13T05:55:10Z stage=generate completed=10001 total=15000
runner-1  | 2026-09-13T05:55:15.684618657Z 2026-09-13T05:55:15Z stage=generate completed=12501 total=15000
runner-1  | 2026-09-13T05:55:20.682422508Z 2026-09-13T05:55:20Z stage=consumer_drain completed=15000 total=15000
runner-1  | 2026-09-13T05:55:20.692843805Z 2026-09-13T05:55:20Z stage=load_2000 completed=0 total=60000
runner-1  | 2026-09-13T05:55:25.693010038Z 2026-09-13T05:55:25Z stage=generate completed=9999 total=60000
runner-1  | 2026-09-13T05:55:30.693694490Z 2026-09-13T05:55:30Z stage=generate completed=20000 total=60000
runner-1  | 2026-09-13T05:55:35.694035264Z 2026-09-13T05:55:35Z stage=generate completed=30001 total=60000
runner-1  | 2026-09-13T05:55:40.692123414Z 2026-09-13T05:55:40Z stage=generate completed=40001 total=60000
runner-1  | 2026-09-13T05:55:45.692631087Z 2026-09-13T05:55:45Z stage=generate completed=50002 total=60000
runner-1  | 2026-09-13T05:55:50.697673028Z 2026-09-13T05:55:50Z stage=consumer_drain completed=60000 total=60000
runner-1  | 2026-09-13T05:55:51.133122449Z 2026-09-13T05:55:51Z stage=load_5000 completed=0 total=150000
runner-1  | 2026-09-13T05:55:56.133509092Z 2026-09-13T05:55:56Z stage=generate completed=24995 total=150000
runner-1  | 2026-09-13T05:56:01.173161674Z 2026-09-13T05:56:01Z stage=generate completed=50001 total=150000
runner-1  | 2026-09-13T05:56:06.172892022Z 2026-09-13T05:56:06Z stage=generate completed=74990 total=150000
runner-1  | 2026-09-13T05:56:11.172209030Z 2026-09-13T05:56:11Z stage=generate completed=100196 total=150000
runner-1  | 2026-09-13T05:56:16.172254986Z 2026-09-13T05:56:16Z stage=generate completed=125031 total=150000
runner-1  | 2026-09-13T05:56:42.451807712Z 2026-09-13T05:56:42Z stage=consumer_drain completed=120220 total=150000
