runner-1  | 2026-09-13T05:57:57.614817907Z 2026-09-13T05:57:57Z stage=initialize completed=0 total=100000
runner-1  | 2026-09-13T05:57:57.614856115Z 2026-09-13T05:57:57Z stage=manifest_plan completed=0 total=100000
runner-1  | 2026-09-13T05:57:57.644230658Z 2026-09-13T05:57:57Z stage=manifest_write completed=0 total=100000
runner-1  | 2026-09-13T05:57:57.705252741Z 2026-09-13T05:57:57Z stage=registry_load completed=0 total=100000
runner-1  | 2026-09-13T05:57:58.627658947Z 2026-09-13T05:57:58Z stage=database_create completed=0 total=100000
runner-1  | 2026-09-13T05:57:58.654587448Z 2026-09-13T05:57:58Z stage=database_migrate completed=0 total=100000
runner-1  | 2026-09-13T05:58:05.141607414Z 2026-09-13T05:58:05Z stage=database_seed completed=0 total=100000
runner-1  | 2026-09-13T05:58:13.141554999Z 2026-09-13T05:58:13Z stage=topics_create completed=0 total=100000
runner-1  | 2026-09-13T05:58:13.184991181Z 2026-09-13T05:58:13Z stage=start_entity completed=0 total=100000
runner-1  | 2026-09-13T05:58:18.630955541Z 2026-09-13T05:58:18Z stage=start_ingest completed=0 total=100000
runner-1  | 2026-09-13T05:58:19.489940768Z 2026-09-13T05:58:19Z stage=warmup_publish completed=0 total=100000
runner-1  | 2026-09-13T05:58:24.514825069Z 2026-09-13T05:58:24Z stage=generate completed=12281 total=100000
runner-1  | 2026-09-13T05:58:29.516228143Z 2026-09-13T05:58:29Z stage=generate completed=23381 total=100000
runner-1  | 2026-09-13T05:58:34.516292248Z 2026-09-13T05:58:34Z stage=generate completed=34975 total=100000
runner-1  | 2026-09-13T05:58:39.514761462Z 2026-09-13T05:58:39Z stage=generate completed=51577 total=100000
runner-1  | 2026-09-13T05:58:44.516006940Z 2026-09-13T05:58:44Z stage=generate completed=70227 total=100000
runner-1  | 2026-09-13T05:58:49.516368428Z 2026-09-13T05:58:49Z stage=generate completed=91517 total=100000
runner-1  | 2026-09-13T05:58:52.544311592Z 2026-09-13T05:58:52Z stage=consumer_drain completed=100000 total=100000
runner-1  | 2026-09-13T05:59:11.962190042Z 2026-09-13T05:59:11Z stage=warmup_snapshots completed=100 total=100000
runner-1  | 2026-09-13T05:59:12.943036011Z 2026-09-13T05:59:12Z stage=warmup_snapshots completed=10100 total=100000
runner-1  | 2026-09-13T05:59:14.419564278Z 2026-09-13T05:59:14Z stage=warmup_snapshots completed=20100 total=100000
runner-1  | 2026-09-13T05:59:15.738516872Z 2026-09-13T05:59:15Z stage=warmup_snapshots completed=30100 total=100000
runner-1  | 2026-09-13T05:59:16.713399846Z 2026-09-13T05:59:16Z stage=warmup_snapshots completed=40100 total=100000
runner-1  | 2026-09-13T05:59:17.874181866Z 2026-09-13T05:59:17Z stage=warmup_snapshots completed=50100 total=100000
runner-1  | 2026-09-13T05:59:18.814618311Z 2026-09-13T05:59:18Z stage=warmup_snapshots completed=60100 total=100000
runner-1  | 2026-09-13T05:59:19.718929974Z 2026-09-13T05:59:19Z stage=warmup_snapshots completed=70100 total=100000
runner-1  | 2026-09-13T05:59:20.860644868Z 2026-09-13T05:59:20Z stage=warmup_snapshots completed=80100 total=100000
runner-1  | 2026-09-13T05:59:22.242563328Z 2026-09-13T05:59:22Z stage=warmup_snapshots completed=90100 total=100000
runner-1  | 2026-09-13T05:59:23.280782548Z 2026-09-13T05:59:23Z stage=warmup_snapshots completed=100000 total=100000
runner-1  | 2026-09-13T05:59:23.280805520Z 2026-09-13T05:59:23Z stage=load_500 completed=0 total=15000
runner-1  | 2026-09-13T05:59:28.281498763Z 2026-09-13T05:59:28Z stage=generate completed=2499 total=15000
runner-1  | 2026-09-13T05:59:33.283160620Z 2026-09-13T05:59:33Z stage=generate completed=5000 total=15000
runner-1  | 2026-09-13T05:59:38.282214232Z 2026-09-13T05:59:38Z stage=generate completed=7500 total=15000
runner-1  | 2026-09-13T05:59:43.284402746Z 2026-09-13T05:59:43Z stage=generate completed=10001 total=15000
runner-1  | 2026-09-13T05:59:48.285856359Z 2026-09-13T05:59:48Z stage=generate completed=12502 total=15000
runner-1  | 2026-09-13T05:59:53.282349595Z 2026-09-13T05:59:53Z stage=consumer_drain completed=15000 total=15000
runner-1  | 2026-09-13T05:59:53.292081116Z 2026-09-13T05:59:53Z stage=complete completed=100000 total=100000
