runner-1  | 2026-09-13T06:41:42.692125648Z 2026-09-13T06:41:42Z stage=initialize completed=0 total=1000000
runner-1  | 2026-09-13T06:41:42.692162771Z 2026-09-13T06:41:42Z stage=manifest_plan completed=0 total=1000000
runner-1  | 2026-09-13T06:41:42.974187258Z 2026-09-13T06:41:42Z stage=manifest_write completed=0 total=1000000
runner-1  | 2026-09-13T06:41:43.642983088Z 2026-09-13T06:41:43Z stage=registry_load completed=0 total=1000000
runner-1  | 2026-09-13T06:41:53.216444697Z 2026-09-13T06:41:53Z stage=database_create completed=0 total=1000000
runner-1  | 2026-09-13T06:41:53.230364164Z 2026-09-13T06:41:53Z stage=database_migrate completed=0 total=1000000
runner-1  | 2026-09-13T06:41:56.318994191Z 2026-09-13T06:41:56Z stage=database_seed completed=0 total=1000000
runner-1  | 2026-09-13T06:45:15.460723479Z 2026-09-13T06:45:15Z stage=topics_create completed=0 total=1000000
runner-1  | 2026-09-13T06:45:15.508930100Z 2026-09-13T06:45:15Z stage=start_entity completed=0 total=1000000
runner-1  | 2026-09-13T06:46:34.769580534Z 2026-09-13T06:46:34Z stage=start_ingest completed=0 total=1000000
runner-1  | 2026-09-13T06:46:46.613860635Z 2026-09-13T06:46:46Z stage=warmup_publish completed=0 total=1000000
runner-1  | 2026-09-13T06:46:51.653959702Z 2026-09-13T06:46:51Z stage=generate completed=6745 total=1000000
runner-1  | 2026-09-13T06:46:56.654000669Z 2026-09-13T06:46:56Z stage=generate completed=14738 total=1000000
runner-1  | 2026-09-13T06:47:01.654842027Z 2026-09-13T06:47:01Z stage=generate completed=23015 total=1000000
runner-1  | 2026-09-13T06:47:06.653437857Z 2026-09-13T06:47:06Z stage=generate completed=39068 total=1000000
runner-1  | 2026-09-13T06:47:11.653628727Z 2026-09-13T06:47:11Z stage=generate completed=54248 total=1000000
runner-1  | 2026-09-13T06:47:16.654417686Z 2026-09-13T06:47:16Z stage=generate completed=69368 total=1000000
runner-1  | 2026-09-13T06:47:21.654406588Z 2026-09-13T06:47:21Z stage=generate completed=83710 total=1000000
runner-1  | 2026-09-13T06:47:26.656296882Z 2026-09-13T06:47:26Z stage=generate completed=99811 total=1000000
runner-1  | 2026-09-13T06:47:31.656500781Z 2026-09-13T06:47:31Z stage=generate completed=117331 total=1000000
runner-1  | 2026-09-13T06:47:36.655281830Z 2026-09-13T06:47:36Z stage=generate completed=133921 total=1000000
runner-1  | 2026-09-13T06:47:41.655621868Z 2026-09-13T06:47:41Z stage=generate completed=153261 total=1000000
runner-1  | 2026-09-13T06:47:46.656065238Z 2026-09-13T06:47:46Z stage=generate completed=169901 total=1000000
runner-1  | 2026-09-13T06:47:51.656398938Z 2026-09-13T06:47:51Z stage=generate completed=187161 total=1000000
runner-1  | 2026-09-13T06:47:56.656552560Z 2026-09-13T06:47:56Z stage=generate completed=202338 total=1000000
runner-1  | 2026-09-13T06:48:01.656520145Z 2026-09-13T06:48:01Z stage=generate completed=218749 total=1000000
runner-1  | 2026-09-13T06:48:06.655709204Z 2026-09-13T06:48:06Z stage=generate completed=236151 total=1000000
runner-1  | 2026-09-13T06:48:11.655820987Z 2026-09-13T06:48:11Z stage=generate completed=253786 total=1000000
runner-1  | 2026-09-13T06:48:16.656729733Z 2026-09-13T06:48:16Z stage=generate completed=273921 total=1000000
runner-1  | 2026-09-13T06:48:21.657291055Z 2026-09-13T06:48:21Z stage=generate completed=289041 total=1000000
runner-1  | 2026-09-13T06:48:26.658002129Z 2026-09-13T06:48:26Z stage=generate completed=308161 total=1000000
runner-1  | 2026-09-13T06:48:31.658134916Z 2026-09-13T06:48:31Z stage=generate completed=323181 total=1000000
runner-1  | 2026-09-13T06:48:36.656976639Z 2026-09-13T06:48:36Z stage=generate completed=342071 total=1000000
runner-1  | 2026-09-13T06:48:41.662298548Z 2026-09-13T06:48:41Z stage=generate completed=358361 total=1000000
runner-1  | 2026-09-13T06:48:46.662298142Z 2026-09-13T06:48:46Z stage=generate completed=377088 total=1000000
runner-1  | 2026-09-13T06:48:51.662378637Z 2026-09-13T06:48:51Z stage=generate completed=393302 total=1000000
runner-1  | 2026-09-13T06:48:56.665303453Z 2026-09-13T06:48:56Z stage=generate completed=409511 total=1000000
runner-1  | 2026-09-13T06:49:01.716334440Z 2026-09-13T06:49:01Z stage=generate completed=427268 total=1000000
runner-1  | 2026-09-13T06:49:06.717179722Z 2026-09-13T06:49:06Z stage=generate completed=442591 total=1000000
runner-1  | 2026-09-13T06:49:11.717445119Z 2026-09-13T06:49:11Z stage=generate completed=461761 total=1000000
runner-1  | 2026-09-13T06:49:16.719273438Z 2026-09-13T06:49:16Z stage=generate completed=477061 total=1000000
runner-1  | 2026-09-13T06:49:21.739148975Z 2026-09-13T06:49:21Z stage=generate completed=494431 total=1000000
runner-1  | 2026-09-13T06:49:26.739118481Z 2026-09-13T06:49:26Z stage=generate completed=509426 total=1000000
runner-1  | 2026-09-13T06:49:31.740019113Z 2026-09-13T06:49:31Z stage=generate completed=526831 total=1000000
runner-1  | 2026-09-13T06:49:36.739154908Z 2026-09-13T06:49:36Z stage=generate completed=545691 total=1000000
runner-1  | 2026-09-13T06:49:41.740385765Z 2026-09-13T06:49:41Z stage=generate completed=561231 total=1000000
runner-1  | 2026-09-13T06:49:46.744978897Z 2026-09-13T06:49:46Z stage=generate completed=579958 total=1000000
runner-1  | 2026-09-13T06:49:51.746313824Z 2026-09-13T06:49:51Z stage=generate completed=592351 total=1000000
runner-1  | 2026-09-13T06:49:56.747052563Z 2026-09-13T06:49:56Z stage=generate completed=609091 total=1000000
runner-1  | 2026-09-13T06:50:01.747063157Z 2026-09-13T06:50:01Z stage=generate completed=625725 total=1000000
runner-1  | 2026-09-13T06:50:06.746380437Z 2026-09-13T06:50:06Z stage=generate completed=645621 total=1000000
runner-1  | 2026-09-13T06:50:11.749595090Z 2026-09-13T06:50:11Z stage=generate completed=664898 total=1000000
runner-1  | 2026-09-13T06:50:16.749653950Z 2026-09-13T06:50:16Z stage=generate completed=683592 total=1000000
runner-1  | 2026-09-13T06:50:21.749758709Z 2026-09-13T06:50:21Z stage=generate completed=704802 total=1000000
runner-1  | 2026-09-13T06:50:26.751162449Z 2026-09-13T06:50:26Z stage=generate completed=722321 total=1000000
runner-1  | 2026-09-13T06:50:31.751337269Z 2026-09-13T06:50:31Z stage=generate completed=744441 total=1000000
runner-1  | 2026-09-13T06:50:36.749582802Z 2026-09-13T06:50:36Z stage=generate completed=764771 total=1000000
runner-1  | 2026-09-13T06:50:41.750488645Z 2026-09-13T06:50:41Z stage=generate completed=783141 total=1000000
runner-1  | 2026-09-13T06:50:46.751012095Z 2026-09-13T06:50:46Z stage=generate completed=806721 total=1000000
runner-1  | 2026-09-13T06:50:51.751131069Z 2026-09-13T06:50:51Z stage=generate completed=824367 total=1000000
runner-1  | 2026-09-13T06:50:56.751315844Z 2026-09-13T06:50:56Z stage=generate completed=846112 total=1000000
runner-1  | 2026-09-13T06:51:01.751890238Z 2026-09-13T06:51:01Z stage=generate completed=863321 total=1000000
runner-1  | 2026-09-13T06:51:06.750281536Z 2026-09-13T06:51:06Z stage=generate completed=883591 total=1000000
runner-1  | 2026-09-13T06:51:11.751322620Z 2026-09-13T06:51:11Z stage=generate completed=903971 total=1000000
runner-1  | 2026-09-13T06:51:16.752456600Z 2026-09-13T06:51:16Z stage=generate completed=919911 total=1000000
runner-1  | 2026-09-13T06:51:21.753196155Z 2026-09-13T06:51:21Z stage=generate completed=941021 total=1000000
runner-1  | 2026-09-13T06:51:26.753231935Z 2026-09-13T06:51:26Z stage=generate completed=957435 total=1000000
runner-1  | 2026-09-13T06:51:31.753399784Z 2026-09-13T06:51:31Z stage=generate completed=976219 total=1000000
runner-1  | 2026-09-13T06:51:36.751688882Z 2026-09-13T06:51:36Z stage=generate completed=989862 total=1000000
runner-1  | 2026-09-13T06:51:39.540685200Z 2026-09-13T06:51:39Z stage=consumer_drain completed=1000000 total=1000000
